ticket_id,created_at,resolved_at,week,issue_type,priority,status,system_name,entity,request_channel,assigned_to,resolution_owner,time_spent_hours,sla_target_hours,change_type
TCK-00169,2026-03-27 12:37:00,2026-03-27 22:37:00,2026-W12,Service Request,P3,Closed,Quality System,ATJ,Service Portal,Engineer 08,Engineer 08,11.01,72,NA
TCK-00170,2026-06-03 19:00:00,,2026-W22,Change Request,P2,Open,WMS,ATD,Monitoring,Engineer 07,Engineer 07,2.38,24,Normal Change
TCK-00171,2026-03-18 17:22:00,2026-03-26 20:22:00,2026-W11,Change Request,P3,Resolved,HR System,ATD,Email,Engineer 11,Engineer 11,13.84,72,Normal Change
TCK-00172,2026-03-18 10:27:00,2026-03-21 05:27:00,2026-W11,Service Request,P3,Closed,MES,ATJ,Email,Engineer 15,Engineer 15,10.66,72,NA
TCK-00173,2026-06-02 12:00:00,,2026-W22,Incident,P2,Pending,SAP,ATD II,Teams,Engineer 04,Engineer 12,3.1,24,NA
TCK-00174,2026-04-05 16:44:00,2026-04-08 06:44:00,2026-W14,Service Request,P3,Resolved,Finance System,ATD,Teams,Engineer 12,Engineer 12,11.51,72,NA
TCK-00175,2026-05-01 12:22:00,2026-05-02 02:22:00,2026-W17,Incident,P2,Resolved,HR System,ATD II,Service Portal,Engineer 11,Engineer 11,2.06,24,NA
TCK-00176,2026-06-03 11:00:00,,2026-W22,Incident,P3,In Progress,SAP,ATJ,Teams,Engineer 18,Engineer 05,5.66,72,NA
TCK-00177,2026-05-19 17:02:00,2026-05-23 16:02:00,2026-W20,Service Request,P3,Closed,API Gateway,ATD II,Teams,Engineer 10,Engineer 10,12.31,72,NA
TCK-00178,2026-06-03 17:00:00,,2026-W22,Change Request,P3,Pending,AP Portal,ATJ,Email,Engineer 14,Engineer 18,17.56,72,Standard Change
TCK-00179,2026-05-31 11:00:00,,2026-W22,Incident,P3,Open,AP Portal,AC,Monitoring,Engineer 11,Engineer 18,11.35,72,NA
TCK-00180,2026-04-07 10:36:00,2026-04-11 15:36:00,2026-W14,Incident,P3,Resolved,API Gateway,ATJ,Phone,Engineer 05,Engineer 05,0.25,72,NA
TCK-00181,2026-03-17 15:35:00,2026-03-18 18:35:00,2026-W11,Change Request,P3,Resolved,HR System,ATD II,Email,Engineer 01,Engineer 01,9.75,72,Normal Change
TCK-00182,2026-05-30 11:39:00,2026-06-01 09:39:00,2026-W21,Incident,P4,Closed,SAP,ATD II,Service Portal,Engineer 04,Engineer 04,8.9,120,NA
TCK-00183,2026-06-03 03:00:00,,2026-W22,Incident,P4,Open,MES,ATD II,Monitoring,Engineer 06,Engineer 11,12.37,120,NA
TCK-00184,2026-05-31 02:00:00,,2026-W22,Hot Fix,P4,Pending,Finance System,ATJ,Phone,Engineer 09,Engineer 15,9.62,120,NA
TCK-00185,2026-04-12 11:02:00,2026-04-16 04:02:00,2026-W15,Incident,P3,Resolved,MES,ATD,Monitoring,Engineer 05,Engineer 05,9.93,72,NA
TCK-00186,2026-06-03 00:00:00,,2026-W22,Incident,P1,Pending,API Gateway,ATJ,Teams,Engineer 12,Engineer 16,0.82,8,NA
TCK-00187,2026-05-05 13:31:00,2026-05-08 09:31:00,2026-W18,Incident,P4,Closed,MES,ATD,Phone,Engineer 07,Engineer 07,25.88,120,NA
TCK-00188,2026-05-12 12:45:00,2026-05-14 03:45:00,2026-W19,Incident,P3,Closed,API Gateway,ATJ,Phone,Engineer 01,Engineer 01,12.12,72,NA
TCK-00189,2026-06-04 13:00:00,,2026-W22,Incident,P3,In Progress,SAP,ATD,Monitoring,Engineer 16,Engineer 11,7.75,72,NA
TCK-00190,2026-06-04 13:00:00,,2026-W22,Service Request,P1,In Progress,Quality System,AC,Phone,Engineer 10,Engineer 13,0.98,8,NA
TCK-00191,2026-05-05 14:38:00,2026-05-07 23:38:00,2026-W18,Service Request,P2,Closed,SAP,ATJ,Phone,Engineer 02,Engineer 02,1.17,24,NA
TCK-00192,2026-03-26 12:50:00,2026-03-29 07:50:00,2026-W12,Incident,P3,Closed,SAP,ATD,Phone,Engineer 17,Engineer 17,3.79,72,NA
TCK-00193,2026-03-21 16:40:00,2026-03-23 07:40:00,2026-W11,Service Request,P3,Resolved,AP Portal,AC,Teams,Engineer 03,Engineer 03,17.4,72,NA
TCK-00194,2026-05-19 19:05:00,2026-05-20 14:05:00,2026-W20,Service Request,P4,Resolved,SAP,AC,Teams,Engineer 15,Engineer 15,12.07,120,NA
TCK-00195,2026-05-28 17:46:00,2026-05-30 11:46:00,2026-W21,Service Request,P3,Closed,Finance System,ATJ,Monitoring,Engineer 17,Engineer 17,0.25,72,NA
TCK-00196,2026-06-02 09:00:00,,2026-W22,Incident,P4,In Progress,WMS,ATJ,Service Portal,Engineer 11,Engineer 03,13.39,120,NA
TCK-00197,2026-04-12 09:22:00,2026-04-15 23:22:00,2026-W15,Incident,P3,Closed,AP Portal,ATJ,Phone,Engineer 17,Engineer 17,2.94,72,NA
TCK-00198,2026-05-22 17:04:00,2026-05-25 13:04:00,2026-W20,Service Request,P1,Closed,MES,ATD II,Teams,Engineer 18,Engineer 18,1.01,8,NA
TCK-00199,2026-06-02 15:00:00,,2026-W22,Incident,P2,In Progress,API Gateway,ATJ,Service Portal,Engineer 10,Engineer 10,3.84,24,NA
TCK-00200,2026-04-14 19:01:00,2026-04-17 20:01:00,2026-W15,Service Request,P3,Resolved,MES,AC,Teams,Engineer 12,Engineer 12,9.09,72,NA
TCK-00201,2026-06-02 17:00:00,,2026-W22,Service Request,P3,Pending,SAP,ATD II,Email,Engineer 03,Engineer 18,2.73,72,NA
TCK-00202,2026-04-02 15:27:00,2026-04-02 21:27:00,2026-W13,Service Request,P1,Closed,API Gateway,ATD II,Monitoring,Engineer 03,Engineer 03,1.69,8,NA
TCK-00203,2026-04-10 16:10:00,2026-04-12 11:10:00,2026-W14,Incident,P2,Resolved,Quality System,ATJ,Monitoring,Engineer 15,Engineer 15,4.71,24,NA
TCK-00204,2026-05-31 20:00:00,,2026-W22,Incident,P3,In Progress,HR System,ATD,Email,Engineer 07,Engineer 01,7.01,72,NA
TCK-00205,2026-05-14 15:12:00,2026-05-16 14:12:00,2026-W19,Service Request,P3,Closed,AP Portal,ATD,Email,Engineer 11,Engineer 11,12.09,72,NA
TCK-00206,2026-06-03 15:00:00,,2026-W22,Change Request,P3,In Progress,API Gateway,ATJ,Email,Engineer 12,Engineer 17,18.36,72,Standard Change
TCK-00207,2026-05-29 15:00:00,,2026-W21,Service Request,P4,Pending,API Gateway,ATJ,Service Portal,Engineer 06,Engineer 01,14.29,120,NA
TCK-00208,2026-06-02 01:00:00,,2026-W22,Incident,P4,In Progress,HR System,ATD II,Monitoring,Engineer 04,Engineer 07,9.55,120,NA
TCK-00209,2026-05-29 19:00:00,,2026-W21,Incident,P4,In Progress,SAP,ATD,Email,Engineer 07,Engineer 10,18.07,120,NA
TCK-00210,2026-06-02 20:00:00,,2026-W22,Change Request,P3,Pending,Finance System,ATD II,Service Portal,Engineer 13,Engineer 10,12.95,72,Standard Change
TCK-00211,2026-04-06 16:34:00,2026-04-08 18:34:00,2026-W14,Service Request,P3,Closed,API Gateway,ATJ,Monitoring,Engineer 08,Engineer 08,12.86,72,NA
TCK-00212,2026-06-02 01:00:00,,2026-W22,Service Request,P3,Open,Finance System,ATJ,Email,Engineer 15,Engineer 05,14.12,72,NA
TCK-00213,2026-03-19 17:34:00,2026-03-22 00:34:00,2026-W11,Hot Fix,P3,Closed,WMS,ATD,Email,Engineer 16,Engineer 16,9.72,72,NA
TCK-00214,2026-05-31 15:00:00,,2026-W22,Service Request,P3,Open,Quality System,ATD,Email,Engineer 01,Engineer 07,0.48,72,NA
TCK-00215,2026-06-03 19:00:00,,2026-W22,Hot Fix,P3,Open,SAP,ATD II,Phone,Engineer 05,Engineer 02,14.6,72,NA
TCK-00216,2026-05-29 13:00:00,,2026-W21,Incident,P4,In Progress,MES,ATJ,Email,Engineer 13,Engineer 11,14.21,120,NA
TCK-00217,2026-06-04 03:00:00,,2026-W22,Service Request,P3,Pending,MES,ATD,Monitoring,Engineer 18,Engineer 14,17.21,72,NA
TCK-00218,2026-06-04 13:00:00,,2026-W22,Service Request,P3,Open,SAP,AC,Teams,Engineer 15,Engineer 05,20.48,72,NA
TCK-00219,2026-06-03 11:00:00,,2026-W22,Incident,P2,In Progress,HR System,AC,Phone,Engineer 10,Engineer 06,2.26,24,NA
TCK-00220,2026-03-31 11:56:00,2026-04-01 19:56:00,2026-W13,Hot Fix,P3,Resolved,AP Portal,ATD,Email,Engineer 18,Engineer 18,12.38,72,NA
TCK-00221,2026-06-04 03:00:00,,2026-W22,Incident,P2,In Progress,Quality System,ATJ,Monitoring,Engineer 11,Engineer 15,3.16,24,NA
TCK-00222,2026-06-01 03:00:00,,2026-W22,Change Request,P3,Pending,Quality System,ATJ,Service Portal,Engineer 07,Engineer 08,15.98,72,Emergency Change
TCK-00223,2026-05-25 18:14:00,2026-05-29 02:14:00,2026-W21,Service Request,P3,Closed,HR System,ATJ,Email,Engineer 03,Engineer 03,13.6,72,NA
TCK-00224,2026-05-20 10:15:00,2026-05-24 13:15:00,2026-W20,Incident,P3,Resolved,WMS,AC,Teams,Engineer 14,Engineer 14,14.03,72,NA
TCK-00225,2026-04-19 11:48:00,2026-04-23 06:48:00,2026-W16,Service Request,P2,Closed,Finance System,ATD,Service Portal,Engineer 05,Engineer 05,0.78,24,NA
TCK-00226,2026-05-22 15:04:00,2026-05-23 11:04:00,2026-W20,Incident,P4,Cancelled,MES,ATD,Monitoring,Engineer 07,Engineer 06,31.69,120,NA
TCK-00227,2026-04-23 13:03:00,2026-04-25 20:03:00,2026-W16,Incident,P2,Resolved,API Gateway,ATJ,Service Portal,Engineer 03,Engineer 03,2.75,24,NA
TCK-00228,2026-06-02 16:25:00,2026-06-03 00:25:00,2026-W22,Service Request,P3,Closed,HR System,ATJ,Phone,Engineer 13,Engineer 13,7.03,72,NA
TCK-00229,2026-05-02 10:29:00,2026-05-02 23:29:00,2026-W17,Incident,P2,Closed,API Gateway,ATD II,Email,Engineer 10,Engineer 10,1.74,24,NA
TCK-00230,2026-05-29 07:00:00,,2026-W21,Service Request,P3,Pending,HR System,ATJ,Teams,Engineer 07,Engineer 09,8.01,72,NA
TCK-00231,2026-03-17 08:05:00,2026-03-18 05:05:00,2026-W11,Incident,P4,Resolved,Quality System,ATD,Monitoring,Engineer 18,Engineer 18,6.76,120,NA
TCK-00232,2026-06-02 16:00:00,,2026-W22,Incident,P2,In Progress,MES,ATD II,Monitoring,Engineer 10,Engineer 11,4.1,24,NA
TCK-00233,2026-05-11 13:31:00,2026-05-11 17:31:00,2026-W19,Incident,P2,Resolved,AP Portal,AC,Phone,Engineer 01,Engineer 01,3.74,24,NA
TCK-00234,2026-05-25 18:00:00,,2026-W21,Service Request,P4,In Progress,Finance System,AC,Service Portal,Engineer 15,Engineer 10,19.85,120,NA
TCK-00235,2026-04-19 11:33:00,2026-04-20 12:33:00,2026-W16,Service Request,P3,Resolved,SAP,ATJ,Phone,Engineer 04,Engineer 04,6.04,72,NA
TCK-00236,2026-05-02 17:58:00,2026-05-05 14:58:00,2026-W17,Service Request,P3,Closed,API Gateway,ATD,Phone,Engineer 02,Engineer 02,17.16,72,NA
TCK-00237,2026-06-01 12:43:00,2026-06-03 05:43:00,2026-W22,Incident,P3,Closed,HR System,ATD,Monitoring,Engineer 09,Engineer 09,5.95,72,NA
TCK-00238,2026-04-06 19:32:00,2026-04-09 01:32:00,2026-W14,Service Request,P2,Resolved,MES,AC,Monitoring,Engineer 03,Engineer 03,4.73,24,NA
TCK-00239,2026-04-16 12:54:00,2026-04-17 04:54:00,2026-W15,Incident,P2,Closed,MES,ATD,Service Portal,Engineer 01,Engineer 01,3.46,24,NA
TCK-00240,2026-06-01 08:00:00,,2026-W22,Incident,P3,Pending,MES,ATD II,Email,Engineer 01,Engineer 14,3.76,72,NA
TCK-00241,2026-05-11 09:50:00,2026-05-15 07:50:00,2026-W19,Incident,P3,Closed,HR System,AC,Teams,Engineer 03,Engineer 03,16.28,72,NA
TCK-00242,2026-04-26 17:49:00,2026-04-27 12:49:00,2026-W17,Incident,P1,Resolved,Quality System,AC,Phone,Engineer 02,Engineer 02,0.39,8,NA
TCK-00243,2026-03-31 16:19:00,2026-04-12 03:19:00,2026-W13,Change Request,P4,Resolved,SAP,ATJ,Monitoring,Engineer 14,Engineer 14,28.28,120,Normal Change
TCK-00244,2026-06-02 10:00:00,,2026-W22,Hot Fix,P3,In Progress,Finance System,AC,Teams,Engineer 03,Engineer 11,7.61,72,NA
TCK-00245,2026-05-06 17:25:00,2026-05-11 23:25:00,2026-W18,Service Request,P4,Closed,API Gateway,ATD,Email,Engineer 17,Engineer 17,20.3,120,NA
TCK-00246,2026-05-31 19:58:00,2026-06-01 08:58:00,2026-W22,Hot Fix,P4,Resolved,API Gateway,AC,Monitoring,Engineer 07,Engineer 07,11.31,120,NA
TCK-00247,2026-04-01 12:08:00,2026-04-03 14:08:00,2026-W13,Service Request,P3,Resolved,MES,ATJ,Monitoring,Engineer 16,Engineer 16,11.47,72,NA
TCK-00248,2026-06-04 13:00:00,,2026-W22,Hot Fix,P2,Pending,SAP,AC,Email,Engineer 13,Engineer 11,1.81,24,NA
TCK-00249,2026-05-30 01:00:00,,2026-W21,Incident,P4,Pending,Finance System,ATJ,Email,Engineer 09,Engineer 10,18.64,120,NA
TCK-00250,2026-06-01 05:00:00,,2026-W22,Incident,P3,Pending,MES,ATJ,Email,Engineer 05,Engineer 06,16.44,72,NA
TCK-00251,2026-05-18 18:44:00,2026-05-20 11:44:00,2026-W20,Incident,P4,Resolved,AP Portal,ATJ,Email,Engineer 04,Engineer 04,11.75,120,NA
TCK-00252,2026-05-30 17:00:00,,2026-W21,Incident,P3,Pending,Quality System,ATJ,Service Portal,Engineer 12,Engineer 10,10.97,72,NA
TCK-00253,2026-05-31 18:00:00,,2026-W22,Service Request,P1,Pending,Finance System,ATD II,Teams,Engineer 16,Engineer 16,0.57,8,NA
TCK-00254,2026-05-09 18:12:00,2026-05-10 11:12:00,2026-W18,Incident,P2,Resolved,AP Portal,ATJ,Teams,Engineer 07,Engineer 07,4.16,24,NA
TCK-00255,2026-04-24 12:49:00,2026-04-25 14:49:00,2026-W16,Incident,P3,Closed,HR System,AC,Email,Engineer 07,Engineer 07,10.46,72,NA
TCK-00256,2026-06-01 08:00:00,,2026-W22,Service Request,P3,In Progress,Finance System,ATJ,Email,Engineer 15,Engineer 06,12.5,72,NA
TCK-00257,2026-05-14 10:59:00,2026-05-20 07:59:00,2026-W19,Hot Fix,P4,Resolved,Quality System,ATJ,Monitoring,Engineer 18,Engineer 18,21.56,120,NA
TCK-00258,2026-06-01 17:15:00,,2026-W22,Hot Fix,P4,Pending,SAP,ATD,Teams,Engineer 08,Engineer 16,16.19,120,NA
TCK-00259,2026-06-02 18:00:00,,2026-W22,Service Request,P4,Open,API Gateway,ATD,Monitoring,Engineer 04,Engineer 02,18.93,120,NA
TCK-00260,2026-06-02 07:00:00,,2026-W22,Incident,P2,Pending,Quality System,ATD,Service Portal,Engineer 01,Engineer 04,2.41,24,NA
TCK-00261,2026-04-17 13:23:00,2026-04-27 13:23:00,2026-W15,Change Request,P4,Closed,API Gateway,ATD,Phone,Engineer 16,Engineer 16,12.76,120,Standard Change
TCK-00262,2026-05-31 16:00:00,,2026-W22,Service Request,P4,Pending,MES,AC,Monitoring,Engineer 15,Engineer 14,16.82,120,NA
TCK-00263,2026-04-19 14:59:00,2026-04-22 19:59:00,2026-W16,Incident,P3,Closed,WMS,ATD II,Service Portal,Engineer 08,Engineer 08,8.6,72,NA
TCK-00264,2026-04-29 13:53:00,2026-05-02 15:53:00,2026-W17,Service Request,P3,Closed,Quality System,ATD II,Email,Engineer 09,Engineer 09,9.79,72,NA
TCK-00265,2026-06-04 12:00:00,,2026-W22,Incident,P3,In Progress,API Gateway,AC,Teams,Engineer 17,Engineer 07,16.19,72,NA
TCK-00266,2026-04-03 09:15:00,2026-04-05 04:15:00,2026-W13,Change Request,P3,Resolved,WMS,ATD,Email,Engineer 13,Engineer 13,9.42,72,Normal Change
TCK-00267,2026-03-27 12:20:00,2026-03-28 18:20:00,2026-W12,Hot Fix,P4,Resolved,Quality System,AC,Service Portal,Engineer 09,Engineer 09,11.92,120,NA
TCK-00268,2026-04-21 12:38:00,2026-04-21 22:38:00,2026-W16,Service Request,P2,Closed,WMS,ATD II,Teams,Engineer 13,Engineer 13,3.11,24,NA
TCK-00269,2026-05-09 19:03:00,2026-05-13 21:03:00,2026-W18,Service Request,P3,Resolved,Finance System,ATD II,Phone,Engineer 08,Engineer 08,12.65,72,NA
TCK-00270,2026-03-20 15:04:00,2026-03-25 21:04:00,2026-W11,Incident,P3,Resolved,Finance System,ATJ,Service Portal,Engineer 13,Engineer 13,7.04,72,NA
TCK-00271,2026-03-25 19:14:00,2026-03-26 01:14:00,2026-W12,Incident,P2,Resolved,SAP,ATJ,Teams,Engineer 09,Engineer 09,1.2,24,NA
TCK-00272,2026-06-01 00:00:00,,2026-W22,Change Request,P3,Pending,WMS,AC,Teams,Engineer 11,Engineer 13,15.27,72,Standard Change
TCK-00273,2026-03-19 14:18:00,2026-03-21 12:18:00,2026-W11,Incident,P2,Resolved,API Gateway,AC,Monitoring,Engineer 01,Engineer 01,2.68,24,NA
TCK-00274,2026-06-03 23:00:00,,2026-W22,Incident,P1,Pending,HR System,ATD,Teams,Engineer 07,Engineer 04,1.33,8,NA
TCK-00275,2026-03-30 09:51:00,2026-04-01 18:51:00,2026-W13,Incident,P3,Closed,MES,ATD,Monitoring,Engineer 12,Engineer 12,8.68,72,NA
TCK-00276,2026-06-01 07:00:00,,2026-W22,Incident,P2,Pending,Finance System,ATD II,Monitoring,Engineer 05,Engineer 08,1.91,24,NA
TCK-00277,2026-05-01 12:13:00,2026-05-06 06:13:00,2026-W17,Incident,P4,Closed,SAP,ATD II,Teams,Engineer 03,Engineer 03,29.74,120,NA
TCK-00278,2026-05-06 16:38:00,2026-05-09 21:38:00,2026-W18,Incident,P3,Closed,WMS,AC,Monitoring,Engineer 04,Engineer 04,5.91,72,NA
TCK-00279,2026-04-04 15:31:00,2026-04-13 00:31:00,2026-W13,Change Request,P3,Resolved,API Gateway,ATJ,Service Portal,Engineer 15,Engineer 15,3.13,72,Normal Change
TCK-00280,2026-06-04 06:00:00,,2026-W22,Incident,P1,In Progress,Quality System,ATD,Monitoring,Engineer 04,Engineer 15,0.63,8,NA
TCK-00281,2026-06-04 13:00:00,,2026-W22,Change Request,P3,In Progress,WMS,ATD II,Service Portal,Engineer 04,Engineer 02,15.98,72,Normal Change
TCK-00282,2026-05-28 17:42:00,2026-05-31 16:42:00,2026-W21,Incident,P3,Resolved,API Gateway,ATD II,Phone,Engineer 02,Engineer 02,13.97,72,NA
TCK-00283,2026-06-02 04:00:00,,2026-W22,Incident,P4,Open,HR System,ATD II,Monitoring,Engineer 12,Engineer 08,14.62,120,NA
TCK-00284,2026-03-31 15:24:00,2026-04-01 14:24:00,2026-W13,Incident,P2,Closed,SAP,ATD II,Email,Engineer 17,Engineer 17,1.02,24,NA
TCK-00285,2026-04-29 14:25:00,2026-04-30 18:25:00,2026-W17,Hot Fix,P2,Closed,SAP,AC,Service Portal,Engineer 09,Engineer 09,3.17,24,NA
TCK-00286,2026-06-03 08:00:00,,2026-W22,Change Request,P2,Pending,SAP,ATJ,Service Portal,Engineer 11,Engineer 01,2.88,24,Standard Change
TCK-00287,2026-06-02 18:00:00,,2026-W22,Change Request,P3,Pending,WMS,ATD,Teams,Engineer 07,Engineer 18,7.28,72,Normal Change
TCK-00288,2026-06-04 02:00:00,,2026-W22,Incident,P1,In Progress,AP Portal,ATJ,Monitoring,Engineer 09,Engineer 10,0.91,8,NA
TCK-00289,2026-06-02 04:00:00,,2026-W22,Change Request,P2,Open,Finance System,ATJ,Email,Engineer 11,Engineer 03,3.02,24,Normal Change
TCK-00290,2026-04-29 14:08:00,2026-05-02 22:08:00,2026-W17,Service Request,P3,Resolved,WMS,ATJ,Phone,Engineer 05,Engineer 05,9.03,72,NA
TCK-00291,2026-06-03 06:00:00,,2026-W22,Incident,P2,Pending,MES,ATD,Service Portal,Engineer 14,Engineer 06,3.92,24,NA
TCK-00292,2026-05-30 14:00:00,,2026-W21,Service Request,P4,In Progress,API Gateway,AC,Service Portal,Engineer 08,Engineer 01,18.9,120,NA
TCK-00293,2026-05-26 18:45:00,2026-05-29 05:45:00,2026-W21,Incident,P2,Closed,Quality System,ATD II,Monitoring,Engineer 11,Engineer 11,4.42,24,NA
TCK-00294,2026-04-18 11:30:00,2026-04-18 15:30:00,2026-W15,Service Request,P4,Resolved,SAP,ATJ,Monitoring,Engineer 02,Engineer 02,15.59,120,NA
TCK-00295,2026-04-24 14:32:00,2026-04-28 11:32:00,2026-W16,Incident,P3,Closed,SAP,ATJ,Email,Engineer 16,Engineer 16,11.92,72,NA
TCK-00296,2026-05-04 17:14:00,2026-05-06 02:14:00,2026-W18,Incident,P3,Resolved,SAP,ATJ,Service Portal,Engineer 08,Engineer 08,11.73,72,NA
TCK-00297,2026-05-16 19:54:00,2026-05-22 23:54:00,2026-W19,Service Request,P3,Resolved,SAP,ATJ,Service Portal,Engineer 09,Engineer 09,9.41,72,NA
TCK-00298,2026-04-09 10:10:00,2026-04-10 06:10:00,2026-W14,Service Request,P4,Resolved,HR System,ATD,Service Portal,Engineer 16,Engineer 16,20.37,120,NA
TCK-00299,2026-05-30 18:00:00,,2026-W21,Change Request,P4,Pending,API Gateway,AC,Email,Engineer 09,Engineer 12,31.11,120,Standard Change
TCK-00300,2026-06-02 13:00:00,,2026-W22,Incident,P3,Open,SAP,AC,Phone,Engineer 07,Engineer 02,18.95,72,NA
TCK-00301,2026-06-03 21:00:00,,2026-W22,Incident,P3,In Progress,AP Portal,ATD II,Teams,Engineer 05,Engineer 07,11.61,72,NA
TCK-00302,2026-06-04 10:00:00,,2026-W22,Incident,P1,In Progress,Quality System,ATD II,Monitoring,Engineer 02,Engineer 12,0.25,8,NA
TCK-00303,2026-05-31 02:00:00,,2026-W22,Incident,P4,Pending,HR System,ATJ,Phone,Engineer 18,Engineer 11,11.45,120,NA
TCK-00304,2026-03-20 18:20:00,2026-03-22 13:20:00,2026-W11,Service Request,P2,Resolved,MES,ATD II,Phone,Engineer 03,Engineer 03,5.96,24,NA
TCK-00305,2026-06-02 02:00:00,,2026-W22,Service Request,P1,In Progress,SAP,ATJ,Teams,Engineer 10,Engineer 06,0.74,8,NA
TCK-00306,2026-06-04 13:00:00,,2026-W22,Incident,P4,In Progress,API Gateway,ATJ,Email,Engineer 03,Engineer 09,21.69,120,NA
TCK-00307,2026-06-01 06:00:00,,2026-W22,Incident,P3,Open,WMS,ATJ,Phone,Engineer 05,Engineer 11,11.62,72,NA
TCK-00308,2026-06-03 16:00:00,,2026-W22,Incident,P3,In Progress,HR System,ATD,Monitoring,Engineer 07,Engineer 06,8.5,72,NA
TCK-00309,2026-05-08 10:10:00,2026-05-12 23:10:00,2026-W18,Incident,P4,Closed,SAP,ATD II,Phone,Engineer 18,Engineer 18,19.4,120,NA
TCK-00310,2026-06-01 18:00:00,,2026-W22,Incident,P4,Open,MES,AC,Email,Engineer 13,Engineer 12,5.64,120,NA
TCK-00311,2026-05-15 14:09:00,2026-05-16 00:09:00,2026-W19,Incident,P4,Resolved,SAP,AC,Teams,Engineer 14,Engineer 14,10.82,120,NA
TCK-00312,2026-06-01 04:00:00,,2026-W22,Incident,P4,Pending,WMS,ATJ,Phone,Engineer 17,Engineer 02,12.5,120,NA
TCK-00313,2026-03-23 09:20:00,2026-03-28 03:20:00,2026-W12,Hot Fix,P4,Resolved,AP Portal,AC,Teams,Engineer 11,Engineer 11,29.18,120,NA
TCK-00314,2026-05-30 16:52:00,2026-06-03 22:52:00,2026-W21,Service Request,P4,Closed,WMS,ATJ,Teams,Engineer 03,Engineer 03,19.22,120,NA
TCK-00315,2026-06-03 08:00:00,,2026-W22,Change Request,P1,In Progress,HR System,ATD,Monitoring,Engineer 11,Engineer 06,1.47,8,Standard Change
TCK-00316,2026-05-30 18:13:00,2026-06-01 04:13:00,2026-W21,Service Request,P2,Closed,WMS,ATD,Phone,Engineer 14,Engineer 14,3.71,24,NA
TCK-00317,2026-05-30 08:37:00,2026-05-30 23:37:00,2026-W21,Hot Fix,P3,Closed,Quality System,AC,Phone,Engineer 04,Engineer 04,8.36,72,NA
TCK-00318,2026-05-24 13:06:00,2026-05-26 15:06:00,2026-W21,Hot Fix,P3,Resolved,HR System,AC,Service Portal,Engineer 02,Engineer 02,13.41,72,NA
TCK-00319,2026-03-16 11:35:00,2026-03-17 09:35:00,2026-W11,Incident,P2,Resolved,Finance System,ATD,Email,Engineer 16,Engineer 16,5.3,24,NA
TCK-00320,2026-04-09 12:33:00,2026-04-11 14:33:00,2026-W14,Service Request,P3,Resolved,SAP,AC,Phone,Engineer 04,Engineer 04,7.78,72,NA
TCK-00321,2026-06-03 13:00:00,,2026-W22,Hot Fix,P2,In Progress,AP Portal,ATD,Phone,Engineer 17,Engineer 16,3.94,24,NA
TCK-00322,2026-05-28 12:00:00,,2026-W21,Change Request,P4,Pending,HR System,ATJ,Teams,Engineer 14,Engineer 02,33.41,120,Normal Change
TCK-00323,2026-05-29 10:00:00,,2026-W21,Incident,P4,Open,Quality System,ATJ,Phone,Engineer 11,Engineer 15,24.18,120,NA
TCK-00324,2026-03-31 11:49:00,2026-04-06 23:49:00,2026-W13,Incident,P3,Resolved,WMS,AC,Monitoring,Engineer 12,Engineer 12,9.13,72,NA
TCK-00325,2026-05-23 11:56:00,2026-05-27 11:56:00,2026-W20,Incident,P3,Resolved,SAP,ATD II,Service Portal,Engineer 03,Engineer 03,4.71,72,NA
TCK-00326,2026-06-04 01:00:00,,2026-W22,Service Request,P3,In Progress,API Gateway,ATJ,Service Portal,Engineer 02,Engineer 04,9.12,72,NA
TCK-00327,2026-05-21 18:57:00,2026-05-22 11:57:00,2026-W20,Incident,P3,Resolved,Finance System,ATD,Phone,Engineer 14,Engineer 14,8.67,72,NA
TCK-00328,2026-05-01 15:17:00,2026-05-02 18:17:00,2026-W17,Incident,P3,Closed,MES,ATD II,Email,Engineer 03,Engineer 03,17.09,72,NA
TCK-00329,2026-06-03 16:00:00,,2026-W22,Change Request,P3,Open,AP Portal,ATD,Teams,Engineer 14,Engineer 13,10.4,72,Emergency Change
TCK-00330,2026-03-20 14:21:00,2026-03-22 03:21:00,2026-W11,Incident,P3,Closed,SAP,ATD II,Email,Engineer 12,Engineer 12,4.31,72,NA
TCK-00331,2026-05-28 19:28:00,2026-05-29 17:28:00,2026-W21,Service Request,P3,Closed,AP Portal,AC,Phone,Engineer 11,Engineer 11,14.86,72,NA
TCK-00332,2026-06-02 12:00:00,,2026-W22,Hot Fix,P2,In Progress,API Gateway,AC,Monitoring,Engineer 11,Engineer 16,4.15,24,NA
TCK-00333,2026-05-26 22:00:00,,2026-W21,Service Request,P3,In Progress,Finance System,AC,Phone,Engineer 12,Engineer 13,15.71,72,NA
TCK-00334,2026-06-01 22:00:00,,2026-W22,Incident,P4,Pending,MES,ATD,Service Portal,Engineer 11,Engineer 15,18.43,120,NA
TCK-00335,2026-05-24 12:53:00,2026-05-28 09:53:00,2026-W21,Service Request,P3,Closed,MES,ATJ,Monitoring,Engineer 16,Engineer 16,8.18,72,NA
TCK-00336,2026-06-02 11:40:00,2026-06-03 04:40:00,2026-W22,Hot Fix,P1,Closed,Finance System,AC,Teams,Engineer 03,Engineer 03,1.32,8,NA
